,Utterance,Emotion,tokens,token_len
116,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,joy,"['go', 'phoebe', 'go', 'phobo', 'phewbedo', 'phaybobo']",6
117,Thank you.,neutral,['thank'],1
118,Thank you.,neutral,['thank'],1
119,"All right, let’s go! Bye, Pheebs!",joy,"['right', 'let', 'go', 'bye', 'pheebs']",5
120,"Bye, Pheebs!",joy,"['bye', 'pheebs']",2
121,London baby!!,joy,"['london', 'baby']",2
122,"Oh, do you need a hug? You don’t have to bring me anything!",joy,"['oh', 'need', 'hug', 'dont', 'bring', 'anything']",6
123,Hey!,neutral,['hey'],1
124,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I’ll have my health insurance back in no time.,joy,"['hey', 'estelle', 'lined', 'bunch', 'audition', 'tomorrow', 'ill', 'health', 'insurance', 'back', 'time']",11
125,"That’s great, but shouldn’t you be on the toilet right now?",disgust,"['thats', 'great', 'shouldnt', 'toilet', 'right']",5
126,What?!,surprise,[],0
127,What’s wrong with you?,disgust,"['whats', 'wrong']",2
128,Nothing!,neutral,['nothing'],1
129,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven’t been able to stand up since.",fear,"['well', 'ii', 'got', 'blinding', 'pain', 'stomach', 'lifting', 'weight', 'uh', 'passed', 'uh', 'havent', 'able', 'stand', 'since']",15
130,"But um, I don’t think it’s anything serious.",neutral,"['um', 'dont', 'think', 'anything', 'serious']",5
131,This sounds like a hernia. You have to—you-you go to the doctor!,surprise,"['sound', 'like', 'hernia', 'toyouyou', 'go', 'doctor']",6
132,"No way! ‘Kay look, if I have to go to the doctor for anything it’s gonna be for this thing sticking out of my stomach!",fear,"['way', 'kay', 'look', 'go', 'doctor', 'anything', 'gon', 'na', 'thing', 'sticking', 'stomach']",11
133,That’s a hernia.,disgust,"['thats', 'hernia']",2
134,Why did I have to start working out again?  Damn you 15s!,anger,"['start', 'working', 'damn']",3
135,I love your place! Where is this guy from?,joy,"['love', 'place', 'guy']",3
136,Uh that’s an eighteenth century Indian artifact from Calcutta.,neutral,"['uh', 'thats', 'eighteenth', 'century', 'indian', 'artifact', 'calcutta']",7
137,"Oh wow! So, you’re more than just dinosaurs.",surprise,"['oh', 'wow', 'youre', 'dinosaur']",4
138,So much more.,neutral,['much'],1
139,"Well, well to sum up, we’re having fun, you look young.",neutral,"['well', 'well', 'sum', 'fun', 'look', 'young']",6
140,Okay,neutral,['okay'],1
141,But that’s not enough. So… So…here’s a key to my apartment.,neutral,"['thats', 'enough', 'soheres', 'key', 'apartment']",5
142,Really?!,surprise,['really'],1
143,Really.,neutral,['really'],1
144,You don’t think this is too fast.,neutral,"['dont', 'think', 'fast']",3
145,Get Out!,anger,['get'],1
146,"Ross, can I talk to you for a minute?",neutral,"['ross', 'talk', 'minute']",3
147,"Yes, please!  So, what's going on?",neutral,"['yes', 'please', 'whats', 'going']",4
148,"Uh, well... Joey and I broke up.",sadness,"['uh', 'well', 'joey', 'broke']",4
149,"Oh my God, wh-what happened?",surprise,"['oh', 'god', 'whwhat', 'happened']",4
150,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",sadness,"['joey', 'great', 'guy', 'different', 'mean', 'speech', 'kept', 'laughing', 'homo', 'erectus']",10
151,I knew that was him!,anger,['knew'],1
152,"Anyway I just, uh, I think it's for the best.",sadness,"['anyway', 'uh', 'think', 'best']",4
153,"Hey, you ok?",neutral,"['hey', 'ok']",2
154,I guess.,sadness,['guess'],1
155,There was hum...  there was another reason that I thought it was time to end it with Joey.,neutral,"['hum', 'another', 'reason', 'thought', 'time', 'end', 'joey']",7
156,I started to realize that I was having feelings for someone  else.,neutral,"['started', 'realize', 'feeling', 'someone', 'else']",5
157,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",neutral,"['ok', 'geller', 'last', 'day', 'conference', 'know', 'happens', 'keynote', 'speaker']",9
158,"Oh, professor Clerk we're kind of in the middle of a conversation, here.",neutral,"['oh', 'professor', 'clerk', 'kind', 'middle', 'conversation']",6
159,"Yeah, can you guys just throw him in the pool later?",neutral,"['yeah', 'guy', 'throw', 'pool', 'later']",5
160,Or we could throw you both in,joy,"['could', 'throw']",2
161,"Ok, gentlemen!",anger,"['ok', 'gentleman']",2
162,Please!,anger,['please'],1
163,Aren't we a little old for this?,anger,"['arent', 'little', 'old']",3
164,"I mean, we're scientists, right?",neutral,"['mean', 'scientist', 'right']",3
165,We're academics.,anger,['academic'],1
166,And most importantly I... you-you will have to catch us first.,joy,"['importantly', 'youyou', 'catch', 'u', 'first']",5
167,"GO, GO, GO!",joy,"['go', 'go', 'go']",3
168,"Go, go, go!",joy,"['go', 'go', 'go']",3
169,"Oh yeah, now everybody wants to be under this hat!",joy,"['oh', 'yeah', 'everybody', 'want', 'hat']",5
170,Oy!!,disgust,['oy'],1
171,What’s with all this sand?,surprise,"['whats', 'sand']",2
172,"Oh, yeah, Bob said there might be flood damage.",neutral,"['oh', 'yeah', 'bob', 'said', 'might', 'flood', 'damage']",7
173,"Yeah, either that, or he has a really big cat.",neutral,"['yeah', 'either', 'really', 'big', 'cat']",5
174,"Okay, see that blind guy right there? I'm gonna bash his head in later.",anger,"['okay', 'see', 'blind', 'guy', 'right', 'im', 'gon', 'na', 'bash', 'head', 'later']",11
175,"Oh umm, my big scene is coming up. Big scene coming up.",joy,"['oh', 'umm', 'big', 'scene', 'coming', 'big', 'scene', 'coming']",8
176,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",neutral,"['said', 'big', 'lima', 'bean', 'bubbling', 'would', 'understand', 'difference']",8
177,Rach? What are you doing?,neutral,['rach'],1
178,"Oh boy, I just can't watch. It's too scary!",fear,"['oh', 'boy', 'cant', 'watch', 'scary']",5
179,It's a diaper commercial.,neutral,"['diaper', 'commercial']",2
180,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",fear,"['oh', 'yeah', 'well', 'know', 'baby', 'responsibility', 'ahhh']",7
181,Pizza delivery!,joy,"['pizza', 'delivery']",2
182,I'll get it! I will get that!,joy,"['ill', 'get', 'get']",3
183,Hi!,joy,['hi'],1
184,Hi!,joy,['hi'],1
185,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",neutral,"['hey', 'wan', 'na', 'get', 'something', 'eat', 'uh', 'wan', 'na', 'see', 'long', 'throw', 'ball', 'back', 'forth', 'huh']",16
186,"Uhh, the ball thing.",neutral,"['uhh', 'ball', 'thing']",3
187,Yeah?,neutral,['yeah'],1
188,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",joy,"['hey', 'ross', 'wouldnt', 'great', 'could', 'go', 'two', 'straight', 'hour', 'without', 'dropping']",11
189,"Uhh,",neutral,['uhh'],1
190,Okay!,joy,['okay'],1
191,Uh-oh.,fear,['uhoh'],1
192,What?,neutral,[],0
193,I have to pee. And Rachel's in the bathroom!,sadness,"['pee', 'rachel', 'bathroom']",3
194,"Man, I didn't think we were gonna make it!",surprise,"['man', 'didnt', 'think', 'gon', 'na', 'make']",6
195,"I know!  Don't switch hands, okay?",fear,"['know', 'dont', 'switch', 'hand', 'okay']",5
196,Hey.,neutral,['hey'],1
197,Hey!,neutral,['hey'],1
198,How did it go with Erin?,neutral,"['go', 'erin']",2
199,"Oh, unbelievable! We had the best time!",joy,"['oh', 'unbelievable', 'best', 'time']",4
200,"Yay!! Oh so, you’re not, you’re not mad at us anymore?",joy,"['yay', 'oh', 'youre', 'youre', 'mad', 'u', 'anymore']",7
201,No!,joy,[],0
202,No!,joy,[],0
203,No!,joy,[],0
204,You guys were totally right!,joy,"['guy', 'totally', 'right']",3
205,This is so much better than the first time we went out.,joy,"['much', 'better', 'first', 'time', 'went']",5
206,Y’know?,neutral,['yknow'],1
207,"That was so awkward, we were really nervous.",neutral,"['awkward', 'really', 'nervous']",3
208,Didn’t you sleep together?,neutral,"['didnt', 'sleep', 'together']",3
209,"Yeah, that really calms me down.",neutral,"['yeah', 'really', 'calm']",3
210,And!,joy,[],0
211,We have so much in common!,joy,"['much', 'common']",2
212,"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that’s a",joy,"['love', 'sandwich', 'sport', 'although', 'met', 'fan', 'much', 'issue', 'ever', 'kid', 'well', 'thats']",12
213,"Oh my God! Listen to you talkin’ about having kids. Oh my Joey.  Oh, please don’t get married before I do.",surprise,"['oh', 'god', 'listen', 'talkin', 'kid', 'oh', 'joey', 'oh', 'please', 'dont', 'get', 'married']",12
214,Okay.,neutral,['okay'],1
215,How does she do that?,surprise,[],0
216,I cannot sleep in a public place.,neutral,"['sleep', 'public', 'place']",3
217,Would you look at her? She is so peaceful.,joy,"['would', 'look', 'peaceful']",3
218,Oh! What what what! ...Hi.,surprise,"['oh', 'hi']",2
219,"It's okay, y'know, you just nodded off again.",neutral,"['okay', 'yknow', 'nodded']",3
220,What's going on with you?,surprise,"['whats', 'going']",2
221,I got no sleep last night!,anger,"['got', 'sleep', 'last', 'night']",4
222,Why?,neutral,[],0
223,"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",disgust,"['grandmother', 'new', 'boyfriend', 'theyre', 'kind', 'insecure', 'bed']",7
224,"Oh, and deaf.",neutral,"['oh', 'deaf']",2
225,"So they're constantly, like, having to reassure each other that they're having a good time.",neutral,"['theyre', 'constantly', 'like', 'reassure', 'theyre', 'good', 'time']",7
226,You have no idea how loud they are!,disgust,"['idea', 'loud']",2
227,"Well, if you want, you can stay with Rachel and me tonight.",neutral,"['well', 'want', 'stay', 'rachel', 'tonight']",5
228,Thanks.,joy,['thanks'],1
229,Ew! What is that? Something exploded!,disgust,"['ew', 'something', 'exploded']",3
230,"It's just her water breaking. Calm down, will you?",neutral,"['water', 'breaking', 'calm']",3
231,"Water breaking, what do you mean? What's that, water breaking?",surprise,"['water', 'breaking', 'mean', 'whats', 'water', 'breaking']",6
232,"Breathe, breathe, breathe.",neutral,"['breathe', 'breathe', 'breathe']",3
233,"Are you insane? I mean Joey, is going to kill you, he’s actually going to kill you dead.",surprise,"['insane', 'mean', 'joey', 'going', 'kill', 'he', 'actually', 'going', 'kill', 'dead']",10
234,Okay! You don’t think I thought of that?,anger,"['okay', 'dont', 'think', 'thought']",4
235,How can you not know which one?,surprise,"['know', 'one']",2
236,I mean that’s unbelievable.,joy,"['mean', 'thats', 'unbelievable']",3
237,"I mean, was it Gina?",neutral,"['mean', 'gina']",2
238,Which one is Gina?,neutral,"['one', 'gina']",2
239,"Dark, big hair, with the airplane earrings.",neutral,"['dark', 'big', 'hair', 'airplane', 'earring']",5
240,"No, no, no, that’s Dina.",neutral,"['thats', 'dina']",2
241,"You see you can’t tell which one is which either, dwha!!",surprise,"['see', 'cant', 'tell', 'one', 'either', 'dwha']",6
242,"I don’t know, you thought ‘See you Saturday’ was funny.",neutral,"['dont', 'know', 'thought', 'see', 'saturday', 'funny']",6
243,"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.",neutral,"['look', 'honey', 'mark', 'fashion', 'okay', 'like', 'friend', 'share', 'stuff']",9
244,You guys would never want to go to a lecture with me.,neutral,"['guy', 'would', 'never', 'want', 'go', 'lecture']",6
245,Pa-haa!! I would love to go with you.,joy,"['pahaa', 'would', 'love', 'go']",4
246,Really!?,surprise,['really'],1
247,"Yeah, hey I-I have clothes, I even pick them out.",neutral,"['yeah', 'hey', 'ii', 'clothes', 'even', 'pick']",6
248,"I mean for, for all you know I could be a fashion..... monger.",neutral,"['mean', 'know', 'could', 'fashion', 'monger']",5
249,"Okay. Honey, I would love for you to go with me.  What?",joy,"['okay', 'honey', 'would', 'love', 'go']",5
250,"What should I wear, now I’m all nervous.",fear,"['wear', 'im', 'nervous']",3
251,": I know, we did it!! Hey, that was incredible, huh?!",joy,"['know', 'hey', 'incredible', 'huh']",4
252,"I know, it was amazing! I mean, we totally nailed it, it was beautiful.",joy,"['know', 'amazing', 'mean', 'totally', 'nailed', 'beautiful']",6
253,": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.",joy,"['thank', 'listen', 'thanks', 'lot', 'tribbiani', 'oh', 'god', 'look', 'time', 'got', 'ta', 'catch', 'bus', 'ball']",14
254,"Oh well, okay, good luck.",joy,"['oh', 'well', 'okay', 'good', 'luck']",5
255,: Yeah.,neutral,['yeah'],1
256,Unless you wanna practice the Foxtrot again? Or-or the Tango?,neutral,"['unless', 'wan', 'na', 'practice', 'foxtrot', 'oror', 'tango']",7
257,": Ahh, thanks but no. You see I-I think I’m ready to dance with girls.",neutral,"['ahh', 'thanks', 'see', 'ii', 'think', 'im', 'ready', 'dance', 'girl']",9
258,Okay.,neutral,['okay'],1
259,: Yeah.,neutral,['yeah'],1
260,Go get ‘em Treeger.,neutral,"['go', 'get', 'em', 'treeger']",4
261,": Right.  Hey, ahh, you wanna come? Marge has a girlfriend.",neutral,"['right', 'hey', 'ahh', 'wan', 'na', 'come', 'marge', 'girlfriend']",8
262,Really?,surprise,['really'],1
263,": Yeah, you could dance real good with her, she’s the same size as me.",neutral,"['yeah', 'could', 'dance', 'real', 'good', 'shes', 'size']",7
264,"No, I’m good.",neutral,"['im', 'good']",2
265,"Oh God, this is so nerve wracking! How-how do you do this?",surprise,"['oh', 'god', 'nerve', 'wracking', 'howhow']",5
266,"Well, unfortunately, I don't get many callbacks so",neutral,"['well', 'unfortunately', 'dont', 'get', 'many', 'callback']",6
267,Is it a good sign that they asked us to hang around after the audition?,surprise,"['good', 'sign', 'asked', 'u', 'hang', 'around', 'audition']",7
268,Who knows?,neutral,['know'],1
269,"Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.",neutral,"['okay', 'uh', 'narrowed', 'raymond', 'ben', 'kyle', 'joey', 'rest', 'thank', 'much']",10
270,Yes!! I knew it!!  Bye-bye! So long! Later!,joy,"['yes', 'knew', 'byebye', 'long', 'later']",5
271,Oh this is great! I might actually get to play Ben's dad!,joy,"['oh', 'great', 'might', 'actually', 'get', 'play', 'ben', 'dad']",8
272,Yeah!,joy,['yeah'],1
273,"Actually, that can't happen.",neutral,"['actually', 'cant', 'happen']",3
274,"Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben.",neutral,"['yeah', 'different', 'look', 'putting', 'raymond', 'kyle', 'ben']",7
275,So it'll be either you two  or you two.,neutral,"['itll', 'either', 'two', 'two']",4
276,"Man, this is gonna be kinda weird.",sadness,"['man', 'gon', 'na', 'kinda', 'weird']",5
277,"Yeah, it is.",neutral,['yeah'],1
278,"No, we-we're gonna be like best friends, that's why it's gonna be weird.",neutral,"['wewere', 'gon', 'na', 'like', 'best', 'friend', 'thats', 'gon', 'na', 'weird']",10
279,"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.",sadness,"['okay', 'come', 'cant', 'get', 'married', 'get', 'something', 'old', 'something', 'new', 'something', 'borrowed', 'something', 'blue']",14
280,"Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new.",joy,"['okay', 'right', 'right', 'right', 'okay', 'okay', 'here', 'something', 'here', 'something', 'blue', 'new']",12
281,Please!,anger,['please'],1
282,Are you kidding?,anger,['kidding'],1
283,"I-I hurt three huge men, I gave a guy a bloody nose—I mean I-I’m not proud of it but, I really am.",anger,"['ii', 'hurt', 'three', 'huge', 'men', 'gave', 'guy', 'bloody', 'nosei', 'mean', 'iim', 'proud', 'really']",13
284,"And it’s all because of you, wonderful, amazing you.",joy,"['wonderful', 'amazing']",2
285,I think you’ve got concussion.,fear,"['think', 'youve', 'got', 'concussion']",4
286,"No, no, I’m serious. Thank you.",joy,"['im', 'serious', 'thank']",3
287,You’re welcome.  I’m sorry. Did I hurt you?,fear,"['youre', 'welcome', 'im', 'sorry', 'hurt']",5
288,"It’s worth the pain.  Y’know what, you know what? It’s not.",sadness,"['worth', 'pain', 'yknow', 'know']",4
289,Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David.,surprise,"['wow', 'mike', 'thing', 'interesting', 'dont', 'know', 'whats', 'gon', 'na', 'happen', 'phoebe', 'david']",12
290,"I do! Want a hint? huh? ""I do""  ""I do"".",joy,"['want', 'hint', 'huh']",3
291,"Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.",neutral,"['ok', 'im', 'sensing', 'kind', 'word', 'play', 'pink', 'barely', 'controlled', 'glee']",10
292,David is going to propose to Phoebe.,joy,"['david', 'going', 'propose', 'phoebe']",4
293,What?  Why?,surprise,[],0
294,"Chandler, we have talked about this.",anger,"['chandler', 'talked']",2
295,You are not supposed to give people advice!,anger,"['supposed', 'give', 'people', 'advice']",4
296,Now couldn't you just have made some sort of inappropriate joke?,anger,"['couldnt', 'made', 'sort', 'inappropriate', 'joke']",5
297,I,neutral,[],0
298,They've only been going out for a few weeks and Phoebe is completely hung up on Mike!,anger,"['theyve', 'going', 'week', 'phoebe', 'completely', 'hung', 'mike']",7
299,"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone",anger,"['shell', 'say', 'david', 'heart', 'broken', 'hard', 'recover', 'phoebe', 'end', 'alone']",10
300,"Man, that's some",surprise,"['man', 'thats']",2
301,"Oh, that's not what you want...",neutral,"['oh', 'thats', 'want']",3
302,"This is my father, Paul Stevens. Dad, this is Ross Geller.",neutral,"['father', 'paul', 'stevens', 'dad', 'ross', 'geller']",6
303,It-it’s great to meet you Paul.,joy,"['itits', 'great', 'meet', 'paul']",4
304,I usually prefer Elizabeth’s boyfriends to address me as Mr. Stevens.,neutral,"['usually', 'prefer', 'elizabeth', 'boyfriend', 'address', 'mr', 'stevens']",7
305,"Of course, of course, Mr. Stevens.",neutral,"['course', 'course', 'mr', 'stevens']",4
306,"So Ross, what your problem?",anger,"['ross', 'problem']",2
307,Eh-wh—Excuse me?,surprise,['ehwhexcuse'],1
308,Why can’t you get a girlfriend your own age?,anger,"['cant', 'get', 'girlfriend', 'age']",4
309,That’s funny. Umm….  It’s not funny.,fear,"['thats', 'funny', 'umm', 'funny']",4
310,I,neutral,[],0
311,Okay.,neutral,['okay'],1
312,"I can, I can see that.",neutral,['see'],1
